Category,Business Type,Supplier,Country,Main Products,Established Year,Total Employees,Total Estimated Revenue,Export Percentage
Food & Beverage,,Company - Ahmed Mahmoud,Egypt,Seahorse or sea foods,,,,
Food & Beverage,Manufacturer Trading Company Distributor/Wholesaler,ATLANTIC TRANSPORTERS PTD LTD,Singapore,Butter oil substitute / Cocoa Butter Substitute,2022,8,1000000.00,70
Food & Beverage,,Company - Salam,United Arab Emirates,,,,,
Food & Beverage,Trading Company Distributor/Wholesaler,NA Impex,Pakistan,Pillows Bed Sheets Confectionery Items,2023,5,,
Food & Beverage,Manufacturer Trading Company,V THAI FRUITS CO. LTD.,Thailand,Canned fruits vegetables pineapple tropical fruit cocktail sweet kernel corn coconut milk,2016,,more than $1000000,100%
Food & Beverage,,sen beverage,Vietnam,problem with site,,,,
Food & Beverage,,KING GARDEN PAPER& PLASTIC PRODUCTS CO.LTD.,China,Paper Cups KRAFT LUNCH BOX PAPER CONTAINERS,,,,
Food & Beverage,,FOODTRIAL LLP,India,Cashew nut  croissants  black pepper  cardamom,,,,
Food & Beverage,,Trigona Dairy Trade,Netherlands,Dairy Products,,,,
Food & Beverage,Trading Company Distributor/Wholesaler,Green Creek Eco farm Ltd.,Uganda,Vanilla and Cocoa Beans,2020,15,80000$,40%
Food & Beverage,Manufacturer Distributor/Wholesaler,Tierra Overseas,India,Black Salt Epsom Salt Magnesium Sulphate Essential Oil Neem Oil Karanja Oil Bio Fertilizer,2015,10+,,
Food & Beverage,,Xian Yibate Biotechnology co.ltd,China,camel milk powder,2016,200,,
Food & Beverage,Manufacturer Distributor/Wholesaler,Sunrise Ins Group,Vietnam,Rice Coffee Cashew Spices,2012,49-100,,
Food & Beverage,Manufacturer Trading Company Distributor/Wholesaler Buying Office,Sen Beverage,Vietnam,Drinks,2019,,,
Food & Beverage,Manufacturer,Shandong Bigtree Dreyfus Special Mealsfood Co. Ltd.,China,price of collagen powder,2001,,,
Food & Beverage,Manufacturer Distributor/Wholesaler,Company - Rowad Herbs Land,Egypt,Hibiscus Flowers  Hibiscus Slices  Hibiscus TBC  Fennel  Thyme  Basil  Marjoram  Rosemary  Peppermint  Oregano chamomile flower Sage leaves  bay leaves caraway seeds dill tips parsley Marigold flowers Marigold Petals  Spearmint Leaves  Spearmint Crushed  Peppermint Leaves  Peppermint,2014,7,,
Food & Beverage,Manufacturer Distributor/Wholesaler,CHT SEAFOOD IMPORT EXPORT LIMITED LIABILITY COMPANY,Vietnam,Seafood and fruit,2019,50-100,,
Food & Beverage,Distributor/Wholesaler,Diamond Beverages Baltic Oü,Estonia,Energy drink,,,,
Food & Beverage,Trading Company Distributor/Wholesaler Buying Office,PT. Alfa Green Utamajaya,Indonesia,Fresh Coconut Banana Leaves Casava Leaves Potato Carrot Fresh Cabbage Chiness Cabbage Betel N,2023,100,USD 10.000,80%
Furniture,Manufacturer Trading Company,jiangyin minsun marine technology co.ltd,China,marine furniture,2015,38,3 million usd,30%
Furniture,Manufacturer Distributor/Wholesaler,Bassamat For Mattress ProductionAl Qawafel Ind. Agr. Co.,Jordan,Mattresses & Disposable Face Masks,2011,25,1000000,50%
Furniture,Manufacturer Distributor/Wholesaler,Xuzhou Xiuhong Furniture Co. Ltd.,China,家具,2018,50+,30 million,50%
Furniture,Trading Company Distributor/Wholesaler,MarketB,South Korea,Furniture,2006,100,56 million USD,10
Furniture,Manufacturer,Wexport,China,Wood Furniture Makeup Brushes Mirrors phones,2009,1,1million,80%
Furniture,Distributor/Wholesaler,Anhui Sunhouse Floor Technology Co.，Ltd,China,engineered wood flooring,,,,
Furniture,,Shouguang Easyard International co.ltd,China,funriture decoration materials,,,,
Furniture,Distributor/Wholesaler,PT Andalan Mitra Exporindo Trading Company,Indonesia,We have a wide range of products including fresh and dried elephant ginger fresh and dried red ginger finger turmeric and dried turmeric turmeric powder black pepper cloves crowbar/ malva nut gambier young coconut old coconut coconut copra  coconut charcoal Corn vanamei shrimp mangrov,2023,15,-,50%
Gifts & Crafts,Manufacturer,Yuhaibadge Gifts & Crafts Co. Ltd.,China,Challenge coins Lapel pins Belt Buckles Bottle Openers Cuff Links,2000,500+,,
Gifts & Crafts,Manufacturer,FOSHAN GOLD HOT INDUSTRIAL CO.LIMITED,China,Fashion Product Labels Badges and labels label pins,,,,
Gifts & Crafts,Manufacturer,Suzhou Magic Crafts Co. Ltd,China,Medals Keychain Lebel pin,,,,
Gifts & Crafts,,Shenzhen Qihui Hardware Crafts.Ltd,China,Metal Crafts,,,,
Gifts & Crafts,,Shandong New Wintree Art Material Co. Ltd,China,Art Supplies,,,,
Gifts & Crafts,Trading Company Distributor/Wholesaler,CyrusCrafts Inc.,Iran,Iranian Decorative Items,2018,30+,Below US$1 Million,95%
Gifts & Crafts,Manufacturer Distributor/Wholesaler,Sk handicrafts,India,Home Decor,1989,15,1350000,. 02
Gifts & Crafts,,REDENIM VENTURES,India,Denim Tote Bags Messenger Bags Oven Gloves Table Mats,,,,
Gifts & Crafts,Distributor/Wholesaler,Zhejiang Norman Gem Industry & Trade Co. Ltd,China,Crystal Giftware,2005,146,1000,70%
Gifts & Crafts,Manufacturer Distributor/Wholesaler,Big Alliance Co. Ltd,Vietnam,Wooden models wooden boat models wooden car wooden airplane woden puzzle box wooden key chain wooden plaque,2007,40,,100
Gifts & Crafts,Manufacturer,goldvalley,China,key chain,2008,40,3000000,90
Gifts & Crafts,,Shenzhen shishang boutique co. ltd,China,Hardware artware,,,,
Gifts & Crafts,Trading Company,Wenshengde Co.,China,USB lighter | electric bikes | camping chairs | rainin pipette tips | opentrons OT-2 pipette tips,2023,10,1 million USD,100%
Gifts & Crafts,,cangnan wanfu stickers co.ltd,China,playing cards nootbook stickers,,,,
Gifts & Crafts,,曹县聚兴木业有限公司,China,,,,,
Hardware,Trading Company,Pallets of Ukraine,Ukraine,Wooden pallets Euro pallets Wooden boxes Fuel briquettes RUF Pallet boards,2017,5,,
Hardware,Distributor/Wholesaler,Baoji Zhengfeng Titanium Metal Co.Ltd,China,Titanium Fastener,2013,30,,
Hardware,Manufacturer,ShijiazhuangCHENGDAWEARRESISTANTMATERIALS CO.LTD,China,Chrome Steel Ball,,,60000,
Hardware,Manufacturer Trading Company,Smit Technology co.ltd,China,Die casting components,2018,1-50,,
Health & Medical,,Flowing Rivers LLC,USA,Nitrile Gloves,,,,
Health & Medical,Distributor/Wholesaler,PNP Biotech,USA,natural extacts and pharmaceutical intermediates,2019,13,,
Health & Medical,Trading Company Distributor/Wholesaler,Tradelink Pharmacueticals Ltd,USA,Phentermine Keytruda Duromine,2000,100,1000000,
Health & Medical,,ECA Business Alliance,Canada,Supplements,,,,
Health & Medical,Manufacturer Trading Company Distributor/Wholesaler,James Optical Korea,South Korea,Eyewear and sunglasses,,,,
Health & Medical,Manufacturer Distributor/Wholesaler,Winbrand biotex Pvt Ltd,Pakistan,Nutraceutical and Dermatology products,2021,50,,
Health & Medical,Manufacturer Trading Company Distributor/Wholesaler,Anhua Jinhou Biotechnology Co. Ltd,China,Plant extracts,2016,20,200,90%
Health & Medical,Manufacturer,SHANDONG AGAMA INDUSTRIAL CO.LTD.,China,x-ray lead sheet x-ray lead glass lead barrier lead suits lead liner door lead wire.lead tube,2019,80,50millions dollars,36%
Health & Medical,Distributor/Wholesaler,Jaya Global Supply,Indonesia,medical laser,2018,,,
Health & Medical,Distributor/Wholesaler,Visi Medical Laser,Indonesia,Medical Laser,2018,2315,,
Health & Medical,,Ancool Technology Co. Ltd,China,lung function test device EECP,,,,
Health & Medical,Manufacturer Trading Company,Shijiazhuang Huanyisheng Technology Co. Ltd,China,Capsule Shell pharmaceutical raw materials tablet Tea Aluminum Packaging,,,,
Health & Medical,Manufacturer Distributor/Wholesaler,YA Surgical Co.,Pakistan,Main Products : Dressing Forceps Iris Scisssors Adson Forceps Manicure Items,2009,100-200,,
Health & Medical,Trading Company Distributor/Wholesaler,Tradecart Trading Inc,Canada,Health and Beauty,2021,10,500000,
Health & Medical,Manufacturer,Shenzhen Taigujing Medical Instruments Co.Ltd,China,Blood Pressure Monitor,2017,50-100,,
Health & Medical,Manufacturer Distributor/Wholesaler,Abbey Medical Supplies Limited,United Kingdom,Medical Supplies Walking Aids Ceiling Track Lifts wheelchairs Scooters hospital-bed lift-chair,2010,199,£800000,75
Health & Medical,,hebei lianfu biotechnology co.ltf,Hong Kong,,,,,
Health & Medical,Manufacturer,HA NOI CPC1 PHARMACEUTICAL JSC,Vietnam,Pharmaceutical product (Medicine Food supplement Medical Device Cosmetic),2009,1600,50000000 USD,5%
Home Appliances,Manufacturer Distributor/Wholesaler,Ningbo Iceberg Company,China,mini fridge，cooler box cosmetic fridge compressor fridge,10 years,300+,,
Home Appliances,Distributor/Wholesaler,GUANGZHOU JOYEE SANITARY WARE CO.，LTD.,China,outdoor spa hot tub swim spa pool,2002,185,,
Home Appliances,Manufacturer Trading Company,ANHUI TINO TECHNOLOGY CO.LTD,China,water vending machine pizza vending machine ice vending machine water dispenser water purifier,2018,20,,
Home Appliances,Manufacturer,Lazak leather co,Iran,Natural Sheep Goat and Hide fur,,,,
Home Appliances,,HENAN DAOBO TRADING CO.LTD.,China,ceramic tableware,,,,
Home Appliances,Manufacturer Distributor/Wholesaler,maoming city. maonan OBD electric appliance co.ltd,China,HOME APPLIANCE KITCHEN APPLIANCE ELECTRIC CERAMIC COOKTOP INFRARED COOKER,2014,50-100,,
Home Appliances,,Quanzhou younger rich trading co.ltd,Hong Kong,baby diaper adult diaper Sanitary Napkin wet wipe tissue papper,,,,
Home Appliances,,Bladesplanets,Pakistan,SWORDS AXES KNIVES,,,,
Home Appliances,Distributor/Wholesaler,Xinjiang Silk Road Hengtong International Trade Co. Ltd.,China,小家电,2017,50,6 million coins,
Home Appliances,,ABLinox (Guangdong) Precision Metal Technology Co. Ltd.,China,Kichen&bathroom Facuets,,,,
Home & Garden,Distributor/Wholesaler,Qingdao Odacom Trading Co. Ltd.,China,diatomite bath mat,2017,50+,5 million,80%
Home & Garden,Manufacturer,Finesun Worldwide Group,Taiwan,Water Filter Reverse Osmosis Water system water purifier small molecule water,1991,20,500 Milion NTD,80% - 90%
Home & Garden,Distributor/Wholesaler,PT. Mower Equip Indonesia,Indonesia,Mower,,,,
Home & Garden,,Guangzhou Constant Commodity Limited,China,vacuum flask,,,,
Home & Garden,Manufacturer,Shenzhen Merlin Living Collection Co. Ltd,China,Wrinky Vase Decal vase Candle Holder Iron Vase Metal Glazed Vase,2013,100,,
Home & Garden,,VDEX,Vietnam,wood powder,,,,
Home & Garden,,Fujian Dehua Shuang De Ceramic Co. Ltd.,China,Ceramic Vases pots etc.,,,,
Home & Garden,Manufacturer,PERFECT METALS,India,BRASS PRODUCTS,2012,50,,100
Home & Garden,Manufacturer,Bolian filtration solutions,China,vacuum filter fabric,2008,,,
Home & Garden,,Kelly Pet supplies,China,Pet accessories,,,,
Home & Garden,,Han Kuan Enterprise Co. Ltd.,Taiwan,,,,,
Home & Garden,Manufacturer Trading Company Distributor/Wholesaler,Ruik Home Goods Co.Ltd,China,clothes hangers,2017,66,,
Lights & Lighting,Trading Company Distributor/Wholesaler,Nirvana Organic Salt Works,Pakistan,salt lamps,2019,,,
Lights & Lighting,Manufacturer Distributor/Wholesaler Buying Office,Shenzhen Beatles Energy Co. Ltd,China,solar led street lamp manufacturer,2014,,,
Lights & Lighting,Manufacturer Distributor/Wholesaler,Zhongshan Chuangjia Lighting Technology Co. Ltd.,China,LED light,2015,83,500万,20
Lights & Lighting,Distributor/Wholesaler,Dongguan Navigation Lighting Technology CO LTD,China,LED light strip and LED neon strip,2019,20,,
Lights & Lighting,,Shenzhen Superfire Guangyu Trading Co.Ltd,China,,,,,
Luggage Bags & Cases,Manufacturer Trading Company Distributor/Wholesaler,MADA'HANDICRAFT,Madagascar,bags handbags hats basket home decoration pouch clutch purse satchel place-mate straw raffia sisal women's fashion accessories,2023,1 - 50 employees,,100% of our products are intended for export
Luggage Bags & Cases,Manufacturer Distributor/Wholesaler,Mankib Merchandise Pvt. Ltd.,India,Hemp bags,2022,20,,
Luggage Bags & Cases,Manufacturer,Guangzhou KALI Leather Co.ltd,China,backpack,2009,,,
Luggage Bags & Cases,Manufacturer Distributor/Wholesaler Buying Office,Leto New Materials Technology Co,China,eco-friendly backpacks bags Wallets Book Lights,2022,,,
Machinery,Manufacturer,Hefei Detong Technology and Trade Co.Ltd,China,forklift parts,2003,300,100 million,50%
Machinery,Manufacturer Trading Company,Tongling Daxun Electromechanical Equipment Co. Ltd.,China,机电设备,2013,50,10 Million,15%
Machinery,,Guangdong Juguangheng Automation Equipment Co. Ltd.,China,injection machine screw lube grease,,,,
Machinery,Manufacturer Trading Company Distributor/Wholesaler,Dalian CIMC Special Logistics Equipment Co. Ltd.,China,Container,2003,500,,
Machinery,,Shining Machinery,Hong Kong,Veneer plywood particle board oriented strand boardmaking machinery,,,,
Machinery,Manufacturer,Fujian Yigong Special Purpose Vehicle Manufacturing Co.  Ltd,China,Truck Trailers Semi-Trailers Containers etc.,2016,200+,,
Machinery,Manufacturer Distributor/Wholesaler,HUS,India,High-Quality of Industrial Hydraulics & Pneumatic Machine Parts,,10,5 Cr+,50%
Machinery,Manufacturer,Yantai Orient Heavy Industry Technology Co. Ltd,China,Drilling Rig Crawler Crane Undercarriage Parts,2022,11-55,,
Machinery,Manufacturer,STAR ENGINEERING CORPORATION,India,Machines,,,,
Machinery,,Magcon,Republic of Türkiye,conveyor oven tortillaoven Tortillas Machine tortilla set dough machines pancake machine,,,,60
Machinery,Manufacturer Distributor/Wholesaler,Shenzhen MY sheet metal Co. Ltd.,China,custom sheet metal parts fabrication / rapid prototyping / CNC machining and 3D printing,2010,,,
Machinery,Manufacturer,Weifang Kaide Plastics Machinery Co. Ltd,China,Extruder and pipe machinery,,105,,
Machinery,Manufacturer,Dingzhou Kelee Machinery Parts Co. Ltd,China,gear Pulley wheel shaft CNC turning parts Hardware,2017,50,$10000000,$3000000
Machinery,Manufacturer,LUOYANG IWH INDUCTION HEATING,China,induction heating equipment,2007,100,,
Machinery,,Indra Store,Indonesia,Printhead,,,,
Machinery,Trading Company Distributor/Wholesaler,Karya Abadi Store,Indonesia,NDT Inspection,2010,10,,
Machinery,,Thermal Tec AS,Norway,Pumps & Pump Parts,,,,
Machinery,Distributor/Wholesaler,HUOSHI Machinery Manufacturing Co. Ltd,China,Nuts Roasting Machine,34,,,
Machinery,Manufacturer,Guangdong Hangao Technology Co. Ltd.,China,Tube mill,2003,50-200,1 billion,
Machinery,,Shenzhen Xinguangprecision Machinery CoLtd.,China,CNC machining parts,,,,98%
Machinery,,Eastwhat Technology (Changzhou) Co. Ltd,China,Shredder Crusher Laser Welding Machine Special Protective Mask Intelligent Robot Disinfection Robot,2020,30~50,4000～6000,
Machinery,Trading Company Distributor/Wholesaler Buying Office,Hunan Shuanghui import and exptort corporation,China,zoomlion xcmg sany truck crane,,,,
Machinery,Manufacturer,Jiangsu Hangong Machine Tools Co.ltd.,China,Vertical Machining Center Gantry Machining Center Horizontal Machining Center CNC Engraving Milli,2015,100,,
Machinery,Manufacturer,Torsion Tools,Serbia,Equipment for the screw pile installation,2023,11-50,,
Machinery,,Shenzhen Anges Machinery Co. ltd,United Kingdom,chiller,,,,
Machinery,Buying Office,Dambuwo Trading Enterprise,South Africa,Earth-moving Machinery bulldozer excavator Tlb Front end loader Grader,2018,1,,
Machinery,Manufacturer,Nantong Zhongnan Intelligent Technology Co.Ltd.,China,CNC Machine Tools,2000,380,,
Machinery,Manufacturer Trading Company Distributor/Wholesaler Buying Office,Shandong Weimeng Engineering Machinery Co.Ltd,China,backhoe loader,1956,888,300000000usd,200000000usd
Machinery,,Foshan Pengqi Environmental Protection Technology Co. Ltd.,China,AGV truck、mechanical/robot arm、charging pile、electronic scale、Electric Patrol Car、HVAC/Air,,,,
Machinery,Manufacturer Distributor/Wholesaler,RITMAN EQUIPMENT,China,Máquina cortadora de fibra láser,2017,258,250000000,30%
Machinery,Manufacturer,Hanzhong Daqin Machinery Co. Ltd.,China,Ropeway Company Pulsating Aerial Ropeway Fixed Box Cableway Supplier,,,,
Machinery,Manufacturer Distributor/Wholesaler,Hengke Machinery Equipment Co.Ltd,China,Air Compressor,2012,60,,80%
Machinery,,Taizhou Newsland Machinery Equipment Co.Ltd,China,cnc wire cut edm machine  EDM machine  EDM die sinking machine  VMC  Lathe Grinding,,,,
Machinery,Manufacturer Trading Company Distributor/Wholesaler,Technocrat Mouldings,India,Sole making machine,1992,50-100,5 CR,30
Machinery,Distributor/Wholesaler,Foshan Pengyi Automation Equipment Co. Ltd.,China,AGV truck(AGV搬运车)、mechanical/robot arm(机械臂)、charging pile(充电桩)、electronic sc,2021,,,
Machinery,,Sichuan Zhuoyue Water Treatment Equipment Co.Ltd.,South Korea,Laboratory ultrapure water machine,,,,
Machinery,Manufacturer,Qingdao Yaxin Plastic Machinery Co. Ltd.,China,Plastic Pipe Machine/Plastic Sheet Board Machine/Plastic Profile Machine,2012,50,10000000,50%
Machinery,,Taixing Aerospace Machinery Technology Co. Ltd,China,Egg breaking machine  egg breaking and separating machine  egg breaker machine  egg white separator,,,,
Machinery,,Company - Vincent HU,China,,,,,
Measurement & Analysis Instruments,,Leadins Technology Co. Ltd,China,liquid level meter,2021,,,
Measurement & Analysis Instruments,Distributor/Wholesaler,Line Surveying Equipment,Singapore,TERRESTRIAL LASER SCANNERS GROUND PENETRATING RADAR TOTAL STATIONS HANDLED 3D SCANNER GPS SURVEY SOLUTIONS DIGITAL MEASURING SURVEYING EQUIPMENTS DRONE LASER TRACKER ANALYZERS LASER SCANNING MODULE,2010,28,,
Measurement & Analysis Instruments,,Falcon MFG Co .Ltd,China,brass cnc,,,,
Measurement & Analysis Instruments,Distributor/Wholesaler,Supmea Automation,China,Magnetic flowmeter Vortex flowmeter Turbine flowmeter Ultrasonic flowmeter pH meter Conductivity meter DO meter Turbidity meter Ultrasonic level meter Radar level meter Pressure transmitter,20+years,500+,US$10Million - US$20 Million,51%-70%
Measurement & Analysis Instruments,Manufacturer Distributor/Wholesaler,Liaoning Tuotai Intelligent Technology Co. Ltd,China,Automatic intelligent coal coke petrographic analysis system,2019,100+,,
Mechanical Parts & Fabrication Services,Manufacturer Distributor/Wholesaler,Shijiazhuang Neuland Metals Technology Ltd,China,tailor-made metal parts according to customers' drawing,,,,
Mechanical Parts & Fabrication Services,,Yinchuan KESTER Electronic Technology Co.LTD,China,Electro-hydraulic products,,,,
Mechanical Parts & Fabrication Services,,Pro Sewing Machine,Indonesia,Sewing Machine,,,,
Mechanical Parts & Fabrication Services,Manufacturer,Dolph Microwave Co. Ltd.,China,microwave components supplier,2001,,,
Mechanical Parts & Fabrication Services,Manufacturer,Xingtai Subote Oil Seal Manufacturing Co. Ltd.,China,TC EC Oil Seal Manufacturer,,,,
Mechanical Parts & Fabrication Services,Manufacturer,Yantai Orient Heavy Industry Technology Co.Ltd,China,Undercarriage parts,2022,5-10,1000000,80%
Mechanical Parts & Fabrication Services,,Hejian Jinghong Fastener Co. Ltd.,China,喉箍,,,,
Mechanical Parts & Fabrication Services,Manufacturer Trading Company Distributor/Wholesaler,Amir Industrial Equipments,United Arab Emirates,Oil & Gas Burners Powder Coating Machines Oil Pump Chemical Pump Air Diaphragm Pump Coolant Pump Air Compressors & Dryers Air Blowers Chemical Blowers etc.,2008,10,,
Mechanical Parts & Fabrication Services,,Zhengzhou Qiaorun Group,South Korea,stellite ball  stellite seat  stellite rod stellite bushing stellite shaft stelite sheet,,,,
Mechanical Parts & Fabrication Services,,LEVENA GLOBAL LTD.,Taiwan,,,,,
Mechanical Parts & Fabrication Services,,LECMAGENT,USA,Neodymium magnets  Ferrite magents  Smco magnets Alnico magnets  Fishing Magents Magnet pick up tools BUCK BALLS  Magnetic toys  Rubber Coated magnets Bonded Magnets  shuttering or lifting magnets,,,,
Mechanical Parts & Fabrication Services,Manufacturer,Lontion industrial ceramics (Dongguan)Co.Ltd,China,industrial ceramics,15,300,One billion RMB,50%
Mechanical Parts & Fabrication Services,Manufacturer,JING RAN,China,Electromechanical equipment and Burner machinery,2012,500,,
Mechanical Parts & Fabrication Services,,Guangdong Yingpeng environmental equipment Co. LTD,China,,,,,
Mechanical Parts & Fabrication Services,Manufacturer,CHNSEAL HUANGSHAN CO. LTD.,China,container seal plasitc seal,2008,260,,
Mechanical Parts & Fabrication Services,Distributor/Wholesaler,Sigma Technik Limited,China,cnc machining,2010,,,
Mechanical Parts & Fabrication Services,,Henan Zeyu Trading Co. Ltd.,China,,,,,
Minerals & Metallurgy,Manufacturer,Wuxi Dachongming Technology Co. Ltd.,China,Stainless Steel Pipes,2003,30,$100 Million,90%
Minerals & Metallurgy,,Malhar Wires Pvt Ltd,India,,,,,
Minerals & Metallurgy,Trading Company Distributor/Wholesaler,Raya Mahakam Jaya,Indonesia,Coal,2020,,,
Minerals & Metallurgy,,JY MINERALS,Zambia,Copper cathodes/gold,,,,
Minerals & Metallurgy,Distributor/Wholesaler,XINYUAN IMPORT EXPORT LIMITED,China,Silicon Carbide Ferro Silicon,2007,50,5000000,
Minerals & Metallurgy,Trading Company,ZODIAC METAL COMPANY LIMITED,Tanzania,Gold Nuggets,2019,10,30000000,50
Minerals & Metallurgy,,Hollyrocksbyholly,Andorra,Diamond Quartz,,,,
Minerals & Metallurgy,,ticaret,Republic of Türkiye,scrap tyre wire,2019,20,,
Minerals & Metallurgy,,Export deal,India,Copper Cathode Aluminium ingot Used rail,,,,
Minerals & Metallurgy,,small miner gemstones,Namibia,gemstones,,,,
Minerals & Metallurgy,,Enj,Iran,,,,,
Minerals & Metallurgy,,Vel Minerals,India,Feldspar Quartz iron ore,,,,
Minerals & Metallurgy,Distributor/Wholesaler,Karya Analyzer Indo,Indonesia,Analyzer XRF,2018,,,
Minerals & Metallurgy,,Investments santa maria spa,Chile,,,,,
Minerals & Metallurgy,Trading Company Distributor/Wholesaler,Wambugu Kamotho Commodity,Kenya,Copper Lithium Manganese,2014,5,,
Minerals & Metallurgy,Manufacturer Distributor/Wholesaler,Minerals Line,Pakistan,Talc ore and Talc powder,2011,30 to 50,,
Minerals & Metallurgy,,Xuanze Industrial Drive System (Shanghai) Co. Ltd,China,Coil wrapper belt,,,,
Minerals & Metallurgy,Manufacturer,Liaoning Mingshi Refractory Material Co.Ltd,China,Refractory Material Suppliers Magnesia Refractory Factory,,,,
Minerals & Metallurgy,,Skydon Capital Pty Ltd,South Africa,Coal - Rb1 Rb2 Anthracite Iron Ore Manganese and Chrome Concentrate,,,,
Minerals & Metallurgy,,Topfly Material Co. LTD,China,graphite electrode,,,,
Minerals & Metallurgy,,kasanga metals,Democratic Republic of the Congo,Copper cathodes Coltan Cobalt and Raw gold.,1983,,500,95%
Office & School Supplies,Manufacturer,Huizhou Wanxi Technology Co.Ltd.,China,Self Inking Stamp,2020,220,,70%
Office & School Supplies,Manufacturer,Shanghai Wangji Co. Ltd,China,vacuum-sealed stainless steel bottle,1999,200+,,
Office & School Supplies,Distributor/Wholesaler,Sirich Enterprise Sdn Bhd,Malaysia,Crayons Modelling Clay,1997,10,,
Office & School Supplies,Manufacturer,IERS MARKER,China,Art Markers ALCOHOL MARKER PIGMENT MARKER FINE LINER ACRYLIC MARKER,2002,200,10000000 USD,50%
Packaging & Printing,Trading Company,SATIN PACKAGING LIMITED,China,Cosmetics Packaging，Cannabis Packaging ，Food Packaging,2019,30,3 million USD,100%
Packaging & Printing,Distributor/Wholesaler,Dongzheng Paper Bag (Dalian) Co. Ltd.,China,Paper Bags,2006,150,50000000,70
Packaging & Printing,Manufacturer,Guangzhou Crystal Sense Packaging Co. Ltd.,China,glass cosmetic bottle and jar packaging,2013,15,,
Packaging & Printing,Distributor/Wholesaler,Dongzheng Paperbag(Dalian) Factory,China,shopping paper bags,2006,150,$ 50000000,70%
Packaging & Printing,Manufacturer,Jinya intelligent Technology shanghai Limited,China,wash off labels,,,,
Packaging & Printing,,BESTONE TRADING INC,USA,stretch film HAND WRAP,,,,
Packaging & Printing,,Madhav Printers And Packers,India,,,,,
Packaging & Printing,,Shenzhen Fengji Technology Co. Ltd,China,Protective Packaging， Speaker,,,,
Packaging & Printing,Manufacturer Distributor/Wholesaler,Ample Cosmetic Packaging,China,Cosmetic Packaging,2002,50-100,,
Packaging & Printing,Manufacturer,Shandong Huisheng Packaging Co. Ltd,China,glass bottle spirit bottle liquor bottle vodka bottle whiskey bottle,,,,
Packaging & Printing,,hrenary packaging,China,paper bag paper box gift box,,,,
Packaging & Printing,Manufacturer,Suzhou Cedreck Film Co. Ltd.,China,bopp thermal lamination film pet thermal lamiantion film,2014,120,1.5 million,50%
Packaging & Printing,,Huzhou Beststrap Package Sci&Tech.Co.Ltd,China,composite strap,,,,
Packaging & Printing,Trading Company Distributor/Wholesaler,Dragon Star Trading Limited,Hong Kong,We source all grades of tissue papers printing papers art paper coated and uncoated wood free bleached and unbleached thermal paper kraft liner high end packing boards.,,20,1000000,
Rubber & Plastics,Manufacturer Trading Company,Jie Ran Commercial Firm,China,机械设备,July 28 2,5,999 Million RMB,70%
Rubber & Plastics,Manufacturer,Qingdao Gon plastics Co. Ltd,China,GPPS,2000,2000,2744060000,50%
Rubber & Plastics,,jamil trader,Pakistan,PET FLAKES HOT WASH CLEAR FOR SALE,,,,
Rubber & Plastics,,Hi - Tech Products,India,Antivibration Rubber Pad,,,,
Rubber & Plastics,Manufacturer,GCC Minerals Group,Vietnam,CACO3 FILLER MASTERBATCH,2019,50-100,,80%
Rubber & Plastics,Manufacturer,Portexsa Ic ve Dis Ticaret Ltd,Republic of Türkiye,soft pvc,,,,
Rubber & Plastics,,scrap king llc,USA,LDPE SCRAP HDPE SCRAP BOPP SCRAP BET BOTTLE SCRAP,,,,
Rubber & Plastics,Manufacturer Distributor/Wholesaler Buying Office,Kunming Conveyor Belt.Co.Let,China,PVC conveyor belt PU conveyor belt Rubber conveyor belt,2007,113,USD19500000,66%
Rubber & Plastics,,IRB EXPORT AND IMPORT JSC,Vietnam,RSS3 SVR10 SVR3L,,,,
Rubber & Plastics,,DTrade,Germany,foam scraps felt glue for rebound,,,,
Rubber & Plastics,Manufacturer,HanKing Mould Engineering Ltd.,China,Plastic injection mold making injection molding services,2011,60,4500000,90%
Security & Protection,Manufacturer Trading Company,XJL Furniture Factory,China,Furniture,2019,10,1.5m,90%
Security & Protection,Manufacturer Trading Company Distributor/Wholesaler,A.A.SURTI TOPIWALA,India,Raincoats gloves masks-N95 3ply gas mask  safety helmets Safety Shoes safety gumboots etc,,,,
Security & Protection,,Beijing FNFOG Technology Co. Ltd.,China,Security fog,,,,
Security & Protection,Distributor/Wholesaler,1st-in-Padlocks,USA,Security lock distributors,1984,,,
Security & Protection,Trading Company Distributor/Wholesaler Buying Office,Worldwide Technologies,India,Drone Jammer Non Linear Junction Detector NJLD Bomb Detector Bulletproof Glass Film Bug Detecto,2016,10,,
Service Equipment,,Shanghai ClearTV Corp. Ltd.,China,nurse call system IPTV,,,,
Service Equipment,Distributor/Wholesaler,Camp Industrial Co. Ltd.,China,food trailers,2003,100+,,
Sports & Entertainment,Trading Company Distributor/Wholesaler,Hockey Sport Pte.Ltd,Singapore,Ice Hockey,2017,1-5,1-5,50%-60%
Sports & Entertainment,Distributor/Wholesaler,Best Cycle Indonesia,Indonesia,Bikes,,,,
Sports & Entertainment,Distributor/Wholesaler,HONGKONG ADGOGO TECHNOLOGY LIMITED,Hong Kong,smart music boxing machine,2021,30,,
Sports & Entertainment,,Shop Fishingtackles,Indonesia,Fishing,,,,
Sports & Entertainment,Manufacturer Trading Company,AMODINO CHINA,China,Dinosaur Companies Animatronic Dinosaur for Sale,,,,
